CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;DT_VALIDADE;CD_UNI_PRO;DS_UNIDADE
759535;1504;20A0111;2022-01-30;48440;AMP6MG
753879;1504;20A0111;2022-01-30;48440;AMP6MG
796517;1504;20AO109;2022-01-30;48440;AMP6MG
818427;1504;BC01019;2021-11-30;48440;AMP6MG
695180;1504;BC01019;2021-11-30;48440;AMP6MG
695177;1504;BC01019;2021-11-30;48440;AMP6MG
817554;1504;BC011/19;2021-11-30;48440;AMP6MG
817354;1504;BC011/19;2021-11-30;48440;AMP6MG
811027;1504;BC011/19;2021-11-30;48440;AMP6MG
796667;1504;BC011/19;2021-11-30;48440;AMP6MG
827438;1504;BC-011/19;2021-11-30;48440;AMP6MG
827675;1504;BC-011/19;2021-11-30;48440;AMP6MG
795722;1504;BC-011/19;2021-11-30;48440;AMP6MG
