CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;CD_UNI_PRO;DT_VALIDADE;DS_UNIDADE
767750;73725;20L04N40;58942;30/11/2022;FR1000ML
772907;73725;21A18N50;58942;30/12/2022;FR1000ML
766787;73725;20K06N12;58942;30/10/2022;FR1000ML
771483;73725;20L04N40;58942;30/11/2022;FR1000ML
766689;73725;20K06N12;58942;30/10/2022;FR1000ML
763678;73725;20K06N12;58942;30/10/2022;FR1000ML
767773;73725;20L04N40;58942;30/11/2022;FR1000ML
772076;73725;21A18N50;58942;30/12/2022;FR1000ML
766416;73725;20J12N11;58942;30/09/2022;FR1000ML
762481;73725;20K06N12;58942;30/10/2022;FR1000ML
771538;73725;21A18N50;58942;30/12/2022;FR1000ML
751469;73725;20C11N20;58942;28/02/2022;FR1000ML
746245;73725;20E05N13;58942;30/04/2022;FR1000ML
745494;73725;20E18N40;58942;30/04/2022;FR1000ML
743435;73725;19L02N11;58942;30/11/2021;FR1000ML
743260;73725;011220;58942;30/10/2026;FR1000ML
752403;73725;20F05N21;58942;30/05/2022;FR1000ML
748719;73725;20E18N40;58942;30/04/2022;FR1000ML
751711;73725;20F05N21;58942;30/05/2022;FR1000ML
750809;73725;20F05N21;58942;30/05/2022;FR1000ML
758662;73725;20K06N12;58942;30/10/2022;FR1000ML
741215;73725;20D07N10;58942;30/03/2023;FR1000ML
743449;73725;20D07N10;58942;30/03/2023;FR1000ML
741101;73725;20D07N10;58942;30/03/2023;FR1000ML
741100;73725;20C11N20;58942;28/02/2022;FR1000ML
737051;73725;20D07N10;58942;31/03/2022;FR1000ML
740913;73725;20C11N20;58942;28/02/2022;FR1000ML
740911;73725;.20D07N10;58942;30/03/2022;FR1000ML
735304;73725;20D07N10;58942;31/03/2022;FR1000ML
735303;73725;20D07N10;58942;31/03/2022;FR1000ML
742101;73725;20D07N10;58942;30/03/2022;FR1000ML
741881;73725;20C11N20;58942;28/02/2022;FR1000ML
748326;73725;20D07N10;58942;30/03/2022;FR1000ML
743230;73725;20E05N13;58942;30/04/2022;FR1000ML
756410;73725;20J12N11;58942;30/09/2022;FR1000ML
748470;73725;20E18N40;58942;30/04/2022;FR1000ML
753595;73725;20J12N11;58942;30/09/2022;FR1000ML
748863;73725;20E18N40;58942;30/04/2022;FR1000ML
743562;73725;20C11N20;58942;28/02/2022;FR1000ML
743218;73725;20E05N13;58942;30/04/2022;FR1000ML
753912;73725;20J12N11;58942;30/09/2022;FR1000ML
751747;73725;20D07N10;58942;31/03/2022;FR1000ML
747513;73725;20E18N40;58942;30/04/2022;FR1000ML
708549;73725;20C11N20;58942;28/02/2022;FR1000ML
709331;73725; 20B24N14;58942;31/01/2022;FR1000ML
